cve_id,cwe_ids,cwe_descriptions,repo_url,parents,filenames,repo_size
CVE-2013-6465,CWE-79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,https://github.com/kiegroup/jbpm-wb,['fc9005f7a7bf6daac6ffb47c366a2ae517c2b761'],TaskDetailsMultiPresenter.java,38529000
CVE-2013-7250,CWE-79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,https://github.com/micromata/projectforge-webapp,['422de35e3c3141e418a73bfb39b430d5fd74077e'],JsonBuilder.java;PFAutoCompleteBehavior.java,36591000
CVE-2013-7251,CWE-352,The web application does not; or can not; sufficiently verify whether a well-formed; valid; consistent request was intentionally provided by the user who submitted the request.,https://github.com/micromata/projectforge-webapp,['a9a5fd6844f7620eb8977d009aef94739812f195'],SetupForm.java;SetupImportForm.java;SystemUpdateForm.java;NavTopPanel.java;ModalDialog.java;RechnungCostEditTablePanel.java;AbstractMobileEditForm.java;AbstractMobileListForm.java;TaskTreeForm.java;CsrfTokenHandler.java;DropFileContainer.java,36591000
CVE-2013-7330,CWE-264,Weaknesses in this category are related to the management of permissions; privileges; and other security features that are used to perform access control.,https://github.com/jenkinsci/jenkins,['0de3e9b14ed75f70279435e78eb9f6a3a1a179df'],AbstractProject.java;Descriptor.java;BuildTrigger.java,164919000
CVE-2014-0086,CWE-20,"The product receives input or data; but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly.",https://github.com/pslegr/core-1,['fdb79dda3fa0a3886b8ef29271605ce1f0ed0fa2'],PushHandlerFilter.java,3530000
CVE-2014-0120,CWE-352,The web application does not; or can not; sufficiently verify whether a well-formed; valid; consistent request was intentionally provided by the user who submitted the request.,https://github.com/hawtio/hawtio,['bedbba03dd971d481a6852ccdaec670a9665e94b'],TerminalServlet.java;LoginServlet.java;LoginTokenServlet.java,107912000
CVE-2014-0121,CWE-287,When an actor claims to have a given identity; the product does not prove or insufficiently proves that the claim is correct.,https://github.com/hawtio/hawtio,['ea9d43ff5a5709734be9c515c048a9215e5e4fe5'],KarafTerminalContextListener.java;TerminalServlet.java;AuthenticationFilter.java,107912000
CVE-2014-0168,CWE-352,The web application does not; or can not; sufficiently verify whether a well-formed; valid; consistent request was intentionally provided by the user who submitted the request.,https://github.com/rhuss/jolokia,['ec206b33b9ac139362dab02a3145c90ba0a2827e'],BackendManager.java;AgentServlet.java;HttpRequestHandler.java;AbstractConstantRestrictor.java;PolicyRestrictor.java;Restrictor.java;CorsChecker.java;JolokiaHttpHandler.java;DelegatingRestrictor.java,29306000
CVE-2014-125038,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/rfsimoes/IS_Projecto2,['fcdb18bd9f6c81cc78d1df7dc572ca1a8da2e979'],NewsBean.java,2928000
CVE-2014-125052,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/JervenBolleman/sparql-identifiers,['a8ca17a4c20f2619f354a9ab01507f32c95be589'],DbUtilities.java;RegistryDao.java,454000
CVE-2014-125071,CWE-346,The product does not properly verify that the source of data or communication is valid.,https://github.com/lukehutch/gribbit,['704e3afde67fb68516519de623fe351c04c57cfb'],Cookie.java;User.java;HttpRequestHandler.java;Request.java,1120000
CVE-2014-125074,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/Nayshlok/Voyager,['6573fe97933da8c155b42d5afd816e1b93e333c2'],RegisterController.java;DatabaseAccess.java,3604000
CVE-2014-125075,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/ChrisMcMStone/gmail-servlet,['4957efd88e1e42ca1665791a69e30d583fca94b1'],AddContact.java;Error.java;Login.java;Model.java;SearchContact.java,156000
CVE-2014-125083,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/AnantLabs/google-enterprise-connector-dctm,['6c98659b563ae55fd24112ef4392b63238790803'],DctmAuthenticationManager.java;DqlUtils.java,5456000
CVE-2014-125087,CWE-611,The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control; causing the product to embed incorrect documents into its output.,https://github.com/jmurty/java-xmlbuilder,['5d5caa583b14ade1d6713b8e73b58679de50361f'],BaseXMLBuilder.java;XMLBuilder.java;XMLBuilder2.java,184000
CVE-2014-1904,CWE-79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,https://github.com/spring-projects/spring-framework,['0cb27f4bc50e4ce78c64176a0aec1291754cabfd'],FormTag.java,223625000
CVE-2014-2058,CWE-264,Weaknesses in this category are related to the management of permissions; privileges; and other security features that are used to perform access control.,https://github.com/jenkinsci/jenkins,['ad38d8480f20ce3cbf8fec3e2003bc83efda4f7d'],AbstractProject.java,164919000
CVE-2014-2059,CWE-22,The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory; but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.,https://github.com/jenkinsci/jenkins,['622e39f8b4c4764a0768bf58645767405ba9ccaa'],CreateJobCommand.java,164919000
CVE-2014-2061,CWE-310,Weaknesses in this category are related to the design and implementation of data confidentiality and integrity. Frequently these deal with the use of encoding techniques; encryption libraries; and hashing algorithms. The weaknesses in this category could lead to a degradation of the quality data if they are not addressed.,https://github.com/jenkinsci/jenkins,['5548b5220cfd496831b5721124189ff18fbb12a3'],Functions.java;PasswordParameterDefinition.java,164919000
CVE-2014-2062,CWE-287,When an actor claims to have a given identity; the product does not prove or insufficiently proves that the claim is correct.,https://github.com/jenkinsci/jenkins,['788b7d7a067fad4972fefaaa527141847bfeff55'],ApiTokenFilter.java,164919000
CVE-2014-2064,CWE-200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.,https://github.com/jenkinsci/jenkins,['a0b00508eeb74d7033dc4100eb382df4e8fa72e7'],HudsonPrivateSecurityRealm.java,164919000
CVE-2014-2065,CWE-79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,https://github.com/jenkinsci/jenkins,['535c1115bbf07f8a57d509f2d00598d6e21870d4'],Functions.java;View.java;Jenkins.java,164919000
CVE-2014-2066,CWE-287,When an actor claims to have a given identity; the product does not prove or insufficiently proves that the claim is correct.,https://github.com/jenkinsci/jenkins,['5d57c855f3147bfc5e7fda9252317b428a700014'],AuthenticationProcessingFilter2.java,164919000
CVE-2014-2067,CWE-79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,https://github.com/jenkinsci/jenkins,['0530a6645aac10fec005614211660e98db44b5eb'],Cause.java,164919000
CVE-2014-2068,CWE-264,Weaknesses in this category are related to the management of permissions; privileges; and other security features that are used to perform access control.,https://github.com/jenkinsci/jenkins,['ac8e17b9ce7a835d0b049fd8329dde4daaa874d9'],RemotingDiagnostics.java,164919000
CVE-2014-3576,CWE-264,Weaknesses in this category are related to the management of permissions; privileges; and other security features that are used to perform access control.,https://github.com/apache/activemq,['9a6d444e0a492231ad1f4833448b3bbacd839bce'],TransportConnection.java,66416000
CVE-2014-4172,CWE-74,The product constructs all or part of a command; data structure; or record using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component.,https://github.com/Jasig/java-cas-client,['fd962da5c4a30e445583413c4e612baed6b11bd4'],AbstractUrlBasedTicketValidator.java;Cas20ServiceTicketValidator.java,2943000
CVE-2014-8122,CWE-362,The product contains a code sequence that can run concurrently with other code; and the code sequence requires temporary; exclusive access to a shared resource; but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently.,https://github.com/weld/core,['00bdcbaffe1c8bc75a0d25d8dddecff396eda1c4'],ConversationScopedBean.java;SimpleServlet.java;RequestScopedCache.java;ServletLogger.java;ConversationContextActivator.java;HttpContextLifecycle.java,57784000
CVE-2014-9634,CWE-254,Software security is not security software. Here we're concerned with topics like authentication; access control; confidentiality; cryptography; and privilege management.,https://github.com/jenkinsci/jenkins,['d2a0a6c2aebebffb8f7ebc0293348302a2e0e402'],WebAppMain.java;JenkinsLocationConfiguration.java,164919000
CVE-2014-9635,CWE-254,Software security is not security software. Here we're concerned with topics like authentication; access control; confidentiality; cryptography; and privilege management.,https://github.com/jenkinsci/jenkins,['d2a0a6c2aebebffb8f7ebc0293348302a2e0e402'],WebAppMain.java;JenkinsLocationConfiguration.java,164919000
CVE-2015-10020,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/ssn2013/cis450Project,['9711131bc6f353c23571678248f0c5cd96a67294'],OracleDBWrapper.java;AddAppUser.java;HeatMapServlet.java;LoginServlet.java,63676000
CVE-2015-10034,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/j-nowak/workout-organizer,['2aaedb7f69ea398a0217493fefe8f19b31ee0775'],AccountController.java;Application.java;UsersController.java;ExerciseDao.java;GymsDao.java;UsersDao.java;WorkoutDao.java,10104000
CVE-2015-10047,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/KYUUBl/school-register,['0c38043430f5d6f0f994646dfaa14688aa81ccb4'],DBManager.java,1112000
CVE-2015-10061,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/evandro-machado/Trabalho-Web2,['511afa7c36d2b3c6a1cd46f0d804afea81632a59'],ClienteDAO.java,48533000
CVE-2015-10068,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/danynab/movify-j,['e49962f7b0f649430cb40adcb59900f3dff98eec'],ReviewServiceImpl.java;WebplayerController.java,6352000
CVE-2015-10076,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/dimtion/Shaarlier,['7f0bcb70bc927aebbfceca9d72154b5989dd81c3'],TagsSource.java,683000
CVE-2015-1849,CWE-200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.,https://github.com/wildfly-security/jboss-negotiation,['347d35e7b4cd72f1148f27d4b263d269a43f108f'],AdvancedLdapLoginModule.java,1280000
CVE-2015-2913,CWE-200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.,https://github.com/orientechnologies/orientdb,['41fd20ab022e22bce32d62372dbe279693322086'],OHttpSessionManager.java,296036000
CVE-2015-5377,CWE-74,The product constructs all or part of a command; data structure; or record using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component.,https://github.com/elastic/elasticsearch,['178aa26a4ea6e741a176962d2212fd62a863542f'],ThrowableObjectInputStream.java;ThrowableObjectOutputStream.java;LocalTransportChannel.java;NettyTransportChannel.java,1403776000
CVE-2015-7326,CWE-611,The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control; causing the product to embed incorrect documents into its output.,https://github.com/miltonio/milton2,['b5851c12717b8efeddbeec01ff0217f7bd546590'],DefaultPropFindRequestFieldParser.java;DefaultPropPatchParser.java,54704000
CVE-2016-10027,CWE-362,The product contains a code sequence that can run concurrently with other code; and the code sequence requires temporary; exclusive access to a shared resource; but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently.,https://github.com/igniterealtime/Smack,['013f4d630a680633bd3a3f06fc70bab5439ec5d9'],AbstractXMPPConnection.java;XMPPTCPConnection.java,35163000
CVE-2016-15011,CWE-611,The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control; causing the product to embed incorrect documents into its output.,https://github.com/e-Contract/dssp,['b0a59e5115895129be50c1b3bacd14008fbaf287'],SignResponseVerifier.java;DigitalSignatureServiceMetadata.java,411000
CVE-2016-15018,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/KrailOrg/krail-jpa,['b64a15b254b2aa378b1e0463cf10515462606a98'],DefaultJpaPatternDao.java;DefaultJpaPatternDao_LongInt.java;JpaPatternDao.java;JpaPatternEntity.java;KeyValueEntity.java;PatternEntity_LongInt.java;PatternId.java;BaseJpaDao.java;BaseJpaKeyValueDao.java;DefaultJpaInstanceConfiguration.java;JpaKeyValueDao.java;DefaultJpaOptionContainerProvider.java;DefaultJpaOptionDao.java;JpaOptionDao.java;JpaOptionEntity.java;OptionEntity_LongInt.java;OptionId.java;OptionJpaDao_LongInt.java,342000
CVE-2016-15026,CWE-611,The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control; causing the product to embed incorrect documents into its output.,https://github.com/3breadt/dd-plist,['b9be0f46797aab66cf5302584d69bd62a00c8e64'],XMLPropertyListParser.java,1221000
CVE-2016-4040,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/dotCMS/core,['ddf9ad9c6fea9e5a609963b0c8453b956916aa7b'],SubmitWebFormAction.java;EmailFactory.java;WorkflowSearcher.java,1081601000
CVE-2016-4999,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/dashbuilder/dashbuilder,['469921ce5a31b91b95c93e410f5f0a2ba5fbbfc7'],DefaultDialect.java,10452000
CVE-2016-6652,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/spring-projects/spring-data-jpa,['c227c6753047b262b83ed7623433a1d65d9308b8'],JpaSort.java;QueryUtils.java,15387000
CVE-2017-1000487,CWE-78,The product constructs all or part of an OS command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component.,https://github.com/codehaus-plexus/plexus-utils,['86c37983bb2bd92b1df43fe73f321ffbfa155070'],Commandline.java;BourneShell.java;Shell.java,15465000
CVE-2017-12795,CWE-20,"The product receives input or data; but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly.",https://github.com/openmrs/openmrs-module-htmlformentry,['3e7c350be70299a234131893a8533165bca64cb3'],HtmlFormFromFileController.java,27828000
CVE-2017-20151,CWE-611,The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control; causing the product to embed incorrect documents into its output.,https://github.com/itext/rups,['ea25cb01fb551ff6a559e99af13bc7480723ebb7'],XfaFile.java,53388000
CVE-2017-20181,CWE-22,The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory; but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.,https://github.com/hgzojer/vocabletrainer,['89b97f5c2f43ced71566c796d7008acedfd9957f'],VocableTrainerProvider.java,1980000
CVE-2017-2598,CWE-326,The product stores or transmits sensitive data using an encryption scheme that is theoretically sound; but is not strong enough for the level of protection required.,https://github.com/jenkinsci/jenkins,['b0ed9669bc00dbccf1be6896bb527b4cf2e7687d'],Item.java;HistoricalSecrets.java;Secret.java;SecretRewriter.java;CryptoConfidentialKey.java,164919000
CVE-2017-2603,CWE-200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.,https://github.com/jenkinsci/jenkins,['15128c602e5df354f13c155308a51fdcca24ec50'],OfflineCause.java,164919000
CVE-2017-4952,CWE-732,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.,https://github.com/vmware/xenon,['fb560dc196cb435b9f6f85b5b1e32baf9d3526eb'],UtilityService.java;AuthorizationHelper.java;VerificationHost.java,52010000
CVE-2017-5589,CWE-20;CWE-346,"The product receives input or data; but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly.;The product does not properly verify that the source of data or communication is valid.",https://github.com/ge0rg/yaxim,['b829050cd1d27b86739c3b694732c558787c18c0'],SmackableImp.java,18346000
CVE-2017-5603,CWE-20;CWE-346,"The product receives input or data; but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly.;The product does not properly verify that the source of data or communication is valid.",https://github.com/jitsi/jitsi,['cf6951b80e0ef9fe04fcd91f946c464145de683f'],OperationSetBasicInstantMessagingJabberImpl.java,579397000
CVE-2018-1000129,CWE-79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,https://github.com/rhuss/jolokia,['557c23edec6b1321fac9bf73239e6cadfda77a07'],AgentServlet.java;MimeTypeUtil.java;JolokiaHttpHandler.java,29306000
CVE-2018-1000632,CWE-91,The product does not properly neutralize special elements that are used in XML; allowing attackers to modify the syntax; content; or commands of the XML before it is processed by an end system.,https://github.com/dom4j/dom4j,['565f4f4a400216ed763760eb8ec803c79fbc830b'],Namespace.java;QName.java;QNameCache.java,35575000
CVE-2018-1002201,CWE-22,The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory; but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.,https://github.com/zeroturnaround/zt-zip,['d1c40776d2ff18550d95db2609d3d154692dea93'],ZipUtil.java,2108000
CVE-2018-12022,CWE-502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.,https://github.com/FasterXML/jackson-databind,['27b4defc270454dea6842bd9279f17387eceb737'],SubTypeValidator.java,81704000
CVE-2018-12023,CWE-502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.,https://github.com/FasterXML/jackson-databind,['27b4defc270454dea6842bd9279f17387eceb737'],SubTypeValidator.java,81704000
CVE-2018-12418,CWE-835,The product contains an iteration or loop with an exit condition that cannot be reached; i.e.; an infinite loop.,https://github.com/junrar/junrar,['00610e6ee75d5fd6be8cdfc1936a294295026469'],Archive.java,13825000
CVE-2018-12537,CWE-20,"The product receives input or data; but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly.",https://github.com/eclipse/vert.x,['513b18b909a144b75ff755414cd0625150149a3d'],HttpHeaders.java;Http2HeadersAdaptor.java;Http2ServerResponseImpl.java;HttpClientRequestImpl.java;HttpUtils.java;VertxHttpHeaders.java,118701000
CVE-2018-14371,CWE-22,The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory; but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.,https://github.com/eclipse-ee4j/mojarra,['6f612e6797ad8d2e6a54d2fcfd15cbb8c75286b1'],InstanceFactory.java;ResourceManager.java,16356000
CVE-2018-14718,CWE-502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.,https://github.com/FasterXML/jackson-databind,['a054585e2175ad0882f07bcafedecfac86230f1b'],BeanDeserializerFactory.java,81704000
CVE-2018-14719,CWE-502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.,https://github.com/FasterXML/jackson-databind,['a054585e2175ad0882f07bcafedecfac86230f1b'],BeanDeserializerFactory.java,81704000
CVE-2018-14720,CWE-502;CWE-611,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.;The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control; causing the product to embed incorrect documents into its output.,https://github.com/FasterXML/jackson-databind,['a054585e2175ad0882f07bcafedecfac86230f1b'],BeanDeserializerFactory.java,81704000
CVE-2018-14721,CWE-918,The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL; but it does not sufficiently ensure that the request is being sent to the expected destination.,https://github.com/FasterXML/jackson-databind,['a054585e2175ad0882f07bcafedecfac86230f1b'],BeanDeserializerFactory.java,81704000
CVE-2018-15531,CWE-611,The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control; causing the product to embed incorrect documents into its output.,https://github.com/javamelody/javamelody,['00dd8d51a6483cb3a5b4c8ae9c24197028401c58'],PayloadNameRequestWrapper.java,114398000
CVE-2018-18434,CWE-22,The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory; but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.,https://github.com/linlinjava/litemall,['3313051c2bb47518c3389322ed45f3263d740611'],WxStorageController.java,24591000
